Start Normal X, Start Normal Y, Start Normal Z, Start Position X, Start Position Y, Start Position Z, Frame 1 Position X, Frame 1 Position Y, Frame 1 Position Z, 1-up Platform Position X, 1-up Platform Position Y, 1-up Platform Position Z, Return Position X, Return Position Y, Return Position Z, Pre-10K Speed, Pre-10K X Velocity, Pre-10K Z Velocity, Return Speed, Return X Velocity, Return Z Velocity, Frame 1 Q-steps, Frame 2 Q-steps, Frame 3 Q-steps, Frame 1 Angle, 10K Stick X, 10K Stick Y, 10K Camera Yaw, Start Floor Normal X, Start Floor Normal Y, Start Floor Normal Z, Number of Tilt Frames, Post-Tilt Platform Normal X, Post-Tilt Platform Normal Y, Post-Tilt Platform Normal Z, Post-Tilt Position X, Post-Tilt Position Y, Post-Tilt Position Z, Post-Upwarp Position X, Post-Upwarp Position Y, Post-Upwarp Position Z, Upwarp PU X, Upwarp PU Z
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61663932.000000, 723.603027, -262015200.000000, 956, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836227, 0.451869, -1759.505127, -3068.657227, -444.837433, 61926376.000000, 2899.342773, -262015248.000000, 960, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61401224.000000, -1268.396973, -262015200.000000, 952, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61401224.000000, -1268.396973, -262015200.000000, 952, -3992
-0.245750, 0.801000, 0.349000, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244250, 0.836224, 0.451869, -1759.500000, -3068.628418, -444.836517, 61663116.000000, 979.371582, -262015344.000000, 956, -3992
-0.245750, 0.801000, 0.349000, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244250, 0.836224, 0.451869, -1759.500000, -3068.628418, -444.836517, 61663116.000000, 979.371582, -262015344.000000, 956, -3992
-0.245750, 0.801000, 0.349000, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244250, 0.836224, 0.451869, -1759.500000, -3068.628418, -444.836517, 61925824.000000, 2979.371582, -262015344.000000, 960, -3992
-0.245750, 0.801000, 0.349000, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244250, 0.836224, 0.451869, -1759.500000, -3068.628418, -444.836517, 61925824.000000, 2979.371582, -262015344.000000, 960, -3992
-0.246500, 0.801500, 0.383000, -1707.839233, -2928.531250, -448.025726, 5117104.000000, -2928.531250, -448.025726, 16772648.000000, -2967.168945, -448.025726, -1803.000000, -2960.673828, -443.000000, 23311088.000000, 23311088.000000, 0.000000, -190822688.000000, -190822688.000000, 57.171543, 1, 2, 1, 16384, 0, -10, 49142, -0.255438, 0.878348, 0.404050, 43, 0.223500, 0.836041, 0.474582, -1780.699707, -3070.446289, -431.173462, 26936712.000000, 953.553711, -143073088.000000, 420, -2180
-0.246500, 0.801500, 0.383000, -1707.839233, -2928.531250, -448.025726, 5117104.000000, -2928.531250, -448.025726, 16772648.000000, -2967.168945, -448.025726, -1803.000000, -2960.673828, -443.000000, 23311088.000000, 23311088.000000, 0.000000, -190822688.000000, -190822688.000000, 57.171543, 1, 2, 1, 16384, 0, -10, 49142, -0.255438, 0.878348, 0.404050, 43, 0.223500, 0.836041, 0.474582, -1780.699707, -3070.446289, -431.173462, 27199404.000000, 3061.553711, -143073088.000000, 424, -2180
